[2025-07-21 10:58:10.441] Query: BBOX(56.2725,56.4725,61.7602,61.9602), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 15ms
[2025-07-21 10:58:10.464] Query: BBOX(56.2725,56.4725,61.7575,61.9575), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 15ms
[2025-07-21 10:58:10.606] Query: BBOX(56.2727,56.4727,61.7575,61.9575), Zoom: 12, Rows: 1000, SQL Time: 43ms, Total Time: 56ms
[2025-07-21 10:58:10.981] Query: BBOX(56.2727,56.4727,61.7557,61.9557), Zoom: 12, Rows: 1000, SQL Time: 43ms, Total Time: 55ms
[2025-07-21 10:58:11.007] Query: BBOX(56.2727,56.4727,61.707,61.907), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 18ms
[2025-07-21 10:58:11.036] Query: BBOX(56.2727,56.4727,61.6886,61.8886), Zoom: 12, Rows: 1000, SQL Time: 17ms, Total Time: 20ms
[2025-07-21 10:58:11.067] Query: BBOX(56.2727,56.4727,61.6719,61.8719), Zoom: 12, Rows: 1000, SQL Time: 20ms, Total Time: 24ms
[2025-07-21 10:58:11.104] Query: BBOX(56.2727,56.4727,61.6537,61.8537), Zoom: 12, Rows: 1000, SQL Time: 23ms, Total Time: 30ms
[2025-07-21 10:58:11.148] Query: BBOX(56.2718,56.4718,61.6312,61.8312), Zoom: 12, Rows: 1000, SQL Time: 31ms, Total Time: 37ms
[2025-07-21 10:58:11.194] Query: BBOX(56.2718,56.4718,61.5979,61.7979), Zoom: 12, Rows: 1000, SQL Time: 33ms, Total Time: 38ms
[2025-07-21 10:58:11.238] Query: BBOX(56.2718,56.4718,61.567,61.767), Zoom: 12, Rows: 1000, SQL Time: 33ms, Total Time: 38ms
[2025-07-21 10:58:11.845] Query: BBOX(56.2715,56.4715,61.5605,61.7605), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 81ms
[2025-07-21 10:58:11.894] Query: BBOX(56.2709,56.4709,61.487,61.687), Zoom: 12, Rows: 1000, SQL Time: 37ms, Total Time: 40ms
[2025-07-21 10:58:11.967] Query: BBOX(56.2709,56.4709,61.4625,61.6625), Zoom: 12, Rows: 1000, SQL Time: 62ms, Total Time: 66ms
[2025-07-21 10:58:12.046] Query: BBOX(56.2709,56.4709,61.4343,61.6343), Zoom: 12, Rows: 1000, SQL Time: 68ms, Total Time: 71ms
[2025-07-21 10:58:12.145] Query: BBOX(56.2709,56.4709,61.3885,61.5885), Zoom: 12, Rows: 1000, SQL Time: 86ms, Total Time: 90ms
[2025-07-21 10:58:12.300] Query: BBOX(56.2709,56.4709,61.3498,61.5498), Zoom: 12, Rows: 1000, SQL Time: 143ms, Total Time: 147ms
[2025-07-21 10:58:12.453] Query: BBOX(56.2705,56.4705,61.3498,61.5498), Zoom: 12, Rows: 1000, SQL Time: 141ms, Total Time: 145ms
[2025-07-21 10:58:12.605] Query: BBOX(56.2695,56.4695,61.3498,61.5498), Zoom: 12, Rows: 1000, SQL Time: 139ms, Total Time: 143ms
